Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1722.065380816452
FDW14,OUT017,1010.0078993274067
NCN55,OUT010,1768.1338520497716
FDQ58,OUT017,1783.633419455672
FDY38,OUT027,5160.6102703834895
FDH56,OUT046,2204.3155858122173
FDL48,OUT018,1183.3449432129535
FDC48,OUT027,2812.85341642731
FDN33,OUT045,1463.501154624676
FDA36,OUT017,2824.9667388043963
FDT44,OUT017,1560.5469956836355
FDQ56,OUT045,1362.39345946401
NCC54,OUT019,2447.948419103038
FDU11,OUT049,2128.0418394128924
DRL59,OUT013,864.9217711763714
FDM24,OUT049,2407.239604251012
FDI57,OUT045,3039.895918825894
DRC12,OUT018,3298.478420714349
NCM42,OUT027,3233.0192777805623
FDA46,OUT010,1223.2544368437761
FDA31,OUT013,2670.052526223332
NCJ31,OUT035,3623.811455185037
FDG52,OUT046,881.6752362454783
NCL19,OUT019,650.7836952081036
FDS10,OUT035,2666.21077234377
FDX22,OUT010,1788.8259090398255
NCF19,OUT035,842.8704287923135
NCE06,OUT046,2810.4288636506462
DRC27,OUT046,4160.038750604926
FDE21,OUT035,1805.3576152879348
NCR42,OUT019,-909.6562073595858
FDX51,OUT018,3487.1658732114674
NCR06,OUT018,963.2031305805968
FDU31,OUT027,5050.014799335955
FDU59,OUT017,2290.960952145226
FDR03,OUT027,4466.955542454266
FDS49,OUT027,2599.529315972607
FDD48,OUT010,102.59902338406766
NCF18,OUT017,2890.780205898163
NCD43,OUT027,3098.7028601620177
NCD54,OUT018,2614.862423005548
FDY19,OUT010,117.37521880976067
NCY54,OUT017,2471.732080297572
NCL19,OUT018,2502.8477076934505
FDP23,OUT010,1628.8946241415465
FDC26,OUT013,1679.813162700568
FDR14,OUT010,-847.6746765987173
NCS41,OUT035,2657.4943012468325
FDF41,OUT035,3887.7913220048817
FDU34,OUT046,2064.99733836806
DRH11,OUT046,1247.815746191189
FDM03,OUT013,1001.602975226381
FDS31,OUT017,2213.3656656893118
FDJ20,OUT017,1860.7669262299087
FDV44,OUT027,4408.407881095638
FDG02,OUT049,3146.5994013899317
FDA09,OUT013,2659.7440701879336
FDT04,OUT013,227.04449166040737
FDL58,OUT019,2693.7161478115063
FDE52,OUT045,1230.1725987950472
FDW12,OUT035,2295.3447875798984
FDL51,OUT017,3266.5988629709277
NCY42,OUT027,3744.2221398150386
FDR07,OUT017,1424.8009171415724
FDN40,OUT045,2107.220487221798
FDB35,OUT027,3043.1237759739847
FDA22,OUT017,2267.0358377551156
NCL06,OUT046,4301.38013172386
FDI35,OUT013,2707.768972815554
NCW42,OUT045,3445.7557387592633
NCX06,OUT049,3058.802961507775
FDC37,OUT027,3282.7787012905837
FDZ14,OUT018,2355.7833810755183
DRG49,OUT049,4084.9670226268568
NCG06,OUT045,3946.848629864008
DRC36,OUT045,2818.831064068702
FDV21,OUT019,357.32272972459873
FDB53,OUT046,2347.579271815971
DRP47,OUT019,2405.8729605997687
FDA14,OUT013,2084.6890383287478
DRC24,OUT035,2446.6707478308363
FDW21,OUT018,1753.9395757656853
NCH29,OUT046,1634.7331999544838
FDU58,OUT013,2841.9469415743915
FDY27,OUT017,2334.3606492765975
FDV56,OUT035,1789.1835088751952
FDT59,OUT046,3813.550957768435
FDB23,OUT046,3792.2901121886
FDR49,OUT045,568.6342750078886
FDB03,OUT010,2113.2251607588946
FDN39,OUT045,2591.19489007239
FDX02,OUT027,4863.063749710698
FDQ16,OUT027,3194.5748019032417
FDU35,OUT018,1551.0024482921544
NCT29,OUT013,1893.91410710667
FDZ27,OUT046,747.0334115372088
FDN57,OUT017,2051.9495860126854
FDA03,OUT018,2534.176971136757
FDZ36,OUT045,2963.075609724762
NCU05,OUT013,1240.5540980931637
FDT39,OUT018,2902.8300739453366
FDK60,OUT017,1084.2713040914584
FDZ25,OUT017,2279.4607045357843
FDG12,OUT046,1722.4682765786624
DRB01,OUT019,1361.2605921320971
NCC43,OUT027,5223.459348428487
FDX13,OUT019,2442.7139540956778
FDM22,OUT049,1013.5139884331955
FDJ03,OUT027,2312.810721194061
FDU14,OUT018,4163.372260658816
FDB33,OUT010,975.3703580570328
FDP27,OUT046,3247.4161247927564
FDO38,OUT010,-538.7401888223802
FDE28,OUT027,4919.068904615455
FDO27,OUT035,1422.6552840578972
DRL23,OUT027,3241.005530310688
FDS28,OUT046,1173.2468882072412
FDX24,OUT013,1268.5791982784408
FDZ02,OUT035,1587.0125266896068
FDL46,OUT045,1830.3353042593305
FDS60,OUT027,4301.330191105848
NCO06,OUT017,326.88240844888736
FDO16,OUT035,1367.6925709966529
FDC60,OUT049,1625.0698863798261
FDA48,OUT018,3645.492757667963
FDZ36,OUT027,4345.258038803865
FDK27,OUT045,1988.14407620005
FDW23,OUT018,980.1173737958682
FDM14,OUT018,2013.866662223812
FDM14,OUT013,1596.853401235424
FDW60,OUT018,3127.729474977352
FDE21,OUT013,1778.7721286802941
NCM42,OUT035,1733.4401000889877
FDY59,OUT010,-473.65918685326017
DRI49,OUT049,1263.3441103159253
FDT28,OUT019,1000.9318442005585
FDQ22,OUT018,903.9198303985911
FDR60,OUT049,1193.482547115445
FDC50,OUT019,-69.85161945202412
FDV24,OUT013,1959.3019663151033
DRF48,OUT010,2127.0713348028557
FDQ47,OUT046,879.550503091725
DRN36,OUT049,1569.7364019759295
NCY06,OUT035,1994.8343176962314
FDE52,OUT035,1168.6791176135498
NCB54,OUT045,2049.382934676036
NCF31,OUT035,2392.648538135525
FDJ08,OUT027,4424.657936580696
NCC07,OUT017,1604.5680206945226
NCD19,OUT027,1758.6656832029907
FDL46,OUT049,1900.6075704278676
FDM20,OUT045,3708.9447610289117
NCI06,OUT010,1237.907918109362
DRM11,OUT035,4028.9234900780825
NCH07,OUT018,2880.8966603472472
FDS23,OUT013,1955.0675015934848
FDO49,OUT018,1070.4386110159235
FDS35,OUT049,1039.915949934701
DRK39,OUT045,1035.4330329194731
DRI39,OUT049,1075.086604766836
FDV04,OUT017,2310.689605973003
NCN14,OUT035,2760.685698089013
FDH08,OUT013,3690.403105233192
FDS20,OUT046,2994.1494739725845
FDV40,OUT049,1004.0974252126172
FDZ48,OUT010,-90.0295017711752
FDS24,OUT027,2920.314079616216
FDK44,OUT049,2671.479295032093
FDS48,OUT045,2319.664095250837
FDK26,OUT010,1222.4746340449128
FDD23,OUT045,2955.465740843917
NCH54,OUT017,2451.945231437677
NCP14,OUT010,-119.81652625250638
FDM60,OUT010,-1345.485733143983
FDV24,OUT017,1828.1008775100086
FDH08,OUT018,4043.1861292271897
FDS12,OUT027,3485.788345345334
FDR39,OUT027,4178.336931263572
FDP12,OUT027,2042.3178580300903
DRF60,OUT027,4904.647243621677
FDC09,OUT035,1694.876895689768
FDF50,OUT018,2822.8795580358787
FDG28,OUT035,3575.767050051408
NCE19,OUT017,780.8182266079823
NCM53,OUT010,-32.82679370522044
NCN18,OUT049,1755.4967628520615
FDF32,OUT035,2730.573146111576
