Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1583.2723999999996
FDW14,OUT017,1364.0491539906093
NCN55,OUT010,542.9755395973156
FDQ58,OUT017,2384.015126168225
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.430959859155
FDL48,OUT018,754.596095726496
FDC48,OUT027,2513.0798546666674
FDN33,OUT045,1517.6348566210045
FDA36,OUT017,3087.5075112820514
FDT44,OUT017,1874.430959859155
FDQ56,OUT045,1364.0491539906093
NCC54,OUT019,542.9755395973156
FDU11,OUT049,2054.2157066202076
DRL59,OUT013,754.596095726496
FDM24,OUT049,2384.015126168225
FDI57,OUT045,2880.9695613636363
DRC12,OUT018,2880.9695613636363
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973156
FDA31,OUT013,2736.9684298755183
NCJ31,OUT035,3593.1412351254503
FDG52,OUT046,754.596095726496
NCL19,OUT019,286.41777051282065
FDS10,OUT035,2880.9695613636363
FDX22,OUT010,542.9755395973156
NCF19,OUT035,754.596095726496
NCE06,OUT046,2384.015126168225
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.430959859155
NCR42,OUT019,130.33349056603777
FDX51,OUT018,3087.5075112820514
NCR06,OUT018,544.7908500000003
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2384.015126168225
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.0798546666674
FDD48,OUT010,286.41777051282065
NCF18,OUT017,2880.9695613636363
NCD43,OUT027,2513.0798546666674
NCD54,OUT018,1936.508247826087
FDY19,OUT010,286.41777051282065
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2346.648786938779
FDP23,OUT010,542.9755395973156
FDC26,OUT013,1583.2723999999996
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3389.226979354837
FDF41,OUT035,3593.1412351254503
FDU34,OUT046,2054.2157066202076
DRH11,OUT046,876.32057979798
FDM03,OUT013,1583.2723999999996
FDS31,OUT017,3389.226979354837
FDJ20,OUT017,2054.2157066202076
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3087.5075112820514
FDA09,OUT013,2736.9684298755183
FDT04,OUT013,544.7908500000003
FDL58,OUT019,542.9755395973156
FDE52,OUT045,1364.0491539906093
FDW12,OUT035,2384.015126168225
FDL51,OUT017,3753.000099363056
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1517.6348566210045
FDN40,OUT045,2384.015126168225
FDB35,OUT027,2513.0798546666674
FDA22,OUT017,2384.015126168225
NCL06,OUT046,4027.340975
FDI35,OUT013,3389.226979354837
NCW42,OUT045,3753.000099363056
NCX06,OUT049,2736.9684298755183
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1936.508247826087
DRG49,OUT049,3593.1412351254503
NCG06,OUT045,4027.340975
DRC36,OUT045,2997.4076790419153
FDV21,OUT019,286.41777051282065
FDB53,OUT046,2539.394235877863
DRP47,OUT019,542.9755395973156
FDA14,OUT013,2346.648786938779
DRC24,OUT035,2539.394235877863
FDW21,OUT018,1740.986152857143
NCH29,OUT046,1517.6348566210045
FDU58,OUT013,3087.5075112820514
FDY27,OUT017,2736.9684298755183
FDV56,OUT035,1740.986152857143
FDT59,OUT046,4109.900606217616
FDB23,OUT046,3753.000099363056
FDR49,OUT045,754.596095726496
FDB03,OUT010,542.9755395973156
FDN39,OUT045,2811.181403212852
FDX02,OUT027,5669.163351428568
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1517.6348566210045
NCT29,OUT013,1936.508247826087
FDZ27,OUT046,754.596095726496
FDN57,OUT017,2054.2157066202076
FDA03,OUT018,2346.648786938779
FDZ36,OUT045,3389.226979354837
NCU05,OUT013,1248.2233455555552
FDT39,OUT018,2346.648786938779
FDK60,OUT017,1517.6348566210045
FDZ25,OUT017,2811.181403212852
FDG12,OUT046,2202.2990201117304
DRB01,OUT019,542.9755395973156
NCC43,OUT027,5669.163351428568
FDX13,OUT019,542.9755395973156
FDM22,OUT049,876.32057979798
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.952582926828
FDB33,OUT010,384.48867398374006
FDP27,OUT046,3087.5075112820514
FDO38,OUT010,130.33349056603777
FDE28,OUT027,5669.163351428568
FDO27,OUT035,1517.6348566210045
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.32057979798
FDX24,OUT013,1248.2233455555552
FDZ02,OUT035,1517.6348566210045
FDL46,OUT045,1874.430959859155
FDS60,OUT027,5669.163351428568
NCO06,OUT017,544.7908500000003
FDO16,OUT035,1364.0491539906093
FDC60,OUT049,1443.524701863354
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5669.163351428568
FDK27,OUT045,2202.2990201117304
FDW23,OUT018,544.7908500000003
FDM14,OUT018,1583.2723999999996
FDM14,OUT013,1583.2723999999996
FDW60,OUT018,2736.9684298755183
FDE21,OUT013,1874.430959859155
NCM42,OUT035,1740.986152857143
FDY59,OUT010,230.0085918128655
DRI49,OUT049,1248.2233455555552
FDT28,OUT019,384.48867398374006
FDQ22,OUT018,544.7908500000003
FDR60,OUT049,1248.2233455555552
FDC50,OUT019,230.0085918128655
FDV24,OUT013,2346.648786938779
DRF48,OUT010,542.9755395973156
FDQ47,OUT046,643.5588362068967
DRN36,OUT049,1517.6348566210045
NCY06,OUT035,2054.2157066202076
FDE52,OUT035,1364.0491539906093
NCB54,OUT045,2054.2157066202076
NCF31,OUT035,2539.394235877863
FDJ08,OUT027,5669.163351428568
NCC07,OUT017,1740.986152857143
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1874.430959859155
FDM20,OUT045,4109.900606217616
NCI06,OUT010,384.48867398374006
DRM11,OUT035,4425.2984470588235
NCH07,OUT018,2346.648786938779
FDS23,OUT013,1936.508247826087
FDO49,OUT018,754.596095726496
FDS35,OUT049,1103.1862133333339
DRK39,OUT045,1364.0491539906093
DRI39,OUT049,876.32057979798
FDV04,OUT017,2384.015126168225
NCN14,OUT035,2880.9695613636363
FDH08,OUT013,4109.900606217616
FDS20,OUT046,3389.226979354837
FDV40,OUT049,1103.1862133333339
FDZ48,OUT010,230.0085918128655
FDS24,OUT027,2513.0798546666674
FDK44,OUT049,2997.4076790419153
FDS48,OUT045,2539.394235877863
FDK26,OUT010,542.9755395973156
FDD23,OUT045,3087.5075112820514
NCH54,OUT017,2811.181403212852
NCP14,OUT010,230.0085918128655
FDM60,OUT010,130.33349056603777
FDV24,OUT017,2384.015126168225
FDH08,OUT018,3327.952582926828
FDS12,OUT027,3175.335988157896
FDR39,OUT027,5669.163351428568
FDP12,OUT027,1378.263185276074
DRF60,OUT027,5669.163351428568
FDC09,OUT035,1740.986152857143
FDF50,OUT018,3087.5075112820514
FDG28,OUT035,4109.900606217616
NCE19,OUT017,876.32057979798
NCM53,OUT010,230.0085918128655
NCN18,OUT049,1740.986152857143
FDF32,OUT035,3087.5075112820514
FDF11,OUT013,4109.900606217616
DRI59,OUT049,3753.000099363056
NCG54,OUT035,2811.181403212852
FDM44,OUT046,1583.2723999999996
FDT57,OUT018,3327.952582926828
FDV24,OUT046,2384.015126168225
FDI50,OUT019,542.9755395973156
FDS09,OUT035,754.596095726496
NCC31,OUT027,4117.3177126315795
FDQ07,OUT019,542.9755395973156
FDC22,OUT017,3087.5075112820514
FDZ56,OUT046,2811.181403212852
FDZ40,OUT019,130.33349056603777
FDS46,OUT027,3175.335988157896
DRD24,OUT045,2202.2990201117304
FDV45,OUT017,3087.5075112820514
FDL26,OUT045,2539.394235877863
