Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1580.8348274518812
FDW14,OUT017,1442.0632041355689
NCN55,OUT010,575.5463212634456
FDQ58,OUT017,2498.1744285293125
FDY38,OUT027,5868.290066267838
FDH56,OUT046,1944.9068322289518
FDL48,OUT018,732.0408308520368
FDC48,OUT027,2132.3587727907448
FDN33,OUT045,1534.678573175839
FDA36,OUT017,3055.866167567986
FDT44,OUT017,1969.6501065139983
FDQ56,OUT045,1439.2398917308788
NCC54,OUT019,576.3436789043659
FDU11,OUT049,2009.6184032100866
DRL59,OUT013,818.5009665351921
FDM24,OUT049,2485.4539504243453
FDI57,OUT045,3085.8977598738384
DRC12,OUT018,3055.866167567986
NCM42,OUT027,2930.5120416411846
FDA46,OUT010,506.1807341155605
FDA31,OUT013,2851.9227957573626
NCJ31,OUT035,3862.1188490443265
FDG52,OUT046,743.0692124751
NCL19,OUT019,287.04306676678874
FDS10,OUT035,3023.6701523896336
FDX22,OUT010,564.1219103535135
NCF19,OUT035,742.0767326895107
NCE06,OUT046,2550.3988576546326
DRC27,OUT046,3884.813454756762
FDE21,OUT035,1944.9068322289518
NCR42,OUT019,131.17730833336537
FDX51,OUT018,3055.866167567986
NCR06,OUT018,662.4058324578893
FDU31,OUT027,5868.290066267838
FDU59,OUT017,2555.5081238018242
FDR03,OUT027,5868.290066267838
FDS49,OUT027,1996.1348060184175
FDD48,OUT010,269.957268805341
NCF18,OUT017,3055.866167567986
NCD43,OUT027,2854.76609259744
NCD54,OUT018,2134.312975691364
FDY19,OUT010,270.0504982315193
NCY54,OUT017,2850.161238787532
NCL19,OUT018,2468.9078184043938
FDP23,OUT010,572.3966130969743
FDC26,OUT013,1690.9781629056358
FDR14,OUT010,131.17730833336537
NCS41,OUT035,3053.6456571791146
FDF41,OUT035,3872.5793015768973
FDU34,OUT046,2012.499591168956
DRH11,OUT046,973.0839913981197
FDM03,OUT013,1578.4201791602393
FDS31,OUT017,3025.529970463536
FDJ20,OUT017,2009.6184032100866
FDV44,OUT027,5111.370787226341
FDG02,OUT049,3055.866167567986
FDA09,OUT013,2969.5414947684635
FDT04,OUT013,696.6812255649331
FDL58,OUT019,575.321028382749
FDE52,OUT045,1479.8712310465787
FDW12,OUT035,2468.9078184043938
FDL51,OUT017,3717.2501164638406
NCY42,OUT027,3036.3034171441304
FDR07,OUT017,1534.678573175839
FDN40,OUT045,2489.2570768457376
FDB35,OUT027,2653.793519332364
FDA22,OUT017,2555.5081238018242
NCL06,OUT046,4076.5401976076264
FDI35,OUT013,3025.529970463536
NCW42,OUT045,3782.9900521058344
NCX06,OUT049,2981.082240511381
FDC37,OUT027,2905.1713150760465
FDZ14,OUT018,2009.6184032100866
DRG49,OUT049,3887.6485467938064
NCG06,OUT045,4025.0350734202534
DRC36,OUT045,2851.9227957573626
FDV21,OUT019,280.6090622522051
FDB53,OUT046,2485.4539504243453
DRP47,OUT019,575.033917588325
FDA14,OUT013,2476.1233159214858
DRC24,OUT035,2489.2570768457376
FDW21,OUT018,1558.9753286437003
NCH29,OUT046,1534.678573175839
FDU58,OUT013,3055.866167567986
FDY27,OUT017,2874.0025299865797
FDV56,OUT035,1590.0361270895312
FDT59,OUT046,3835.9751022317914
FDB23,OUT046,3803.342068637581
FDR49,OUT045,735.3741180779971
FDB03,OUT010,576.5940913202678
FDN39,OUT045,2555.5081238018242
FDX02,OUT027,5868.290066267838
FDQ16,OUT027,2891.1757104760245
FDU35,OUT018,1537.1655353450708
NCT29,OUT013,2009.6184032100866
FDZ27,OUT046,743.0692124751
FDN57,OUT017,2026.2495319517172
FDA03,OUT018,2479.1544667002595
FDZ36,OUT045,3055.866167567986
NCU05,OUT013,1472.352859650118
FDT39,OUT018,2485.4539504243453
FDK60,OUT017,1534.678573175839
FDZ25,OUT017,2764.8108108900346
FDG12,OUT046,2009.6184032100866
DRB01,OUT019,502.1807427350743
NCC43,OUT027,5868.290066267838
FDX13,OUT019,572.1462006810724
FDM22,OUT049,877.848217540679
FDJ03,OUT027,1042.1720513979976
FDU14,OUT018,3750.3684380624486
FDB33,OUT010,382.0007846875585
FDP27,OUT046,3054.104610598155
FDO38,OUT010,159.77808126545898
FDE28,OUT027,5868.290066267838
FDO27,OUT035,1534.678573175839
DRL23,OUT027,2889.1041107242663
FDS28,OUT046,971.5254146246265
FDX24,OUT013,1538.268839465419
FDZ02,OUT035,1534.678573175839
FDL46,OUT045,1944.9068322289518
FDS60,OUT027,4703.780344408524
NCO06,OUT017,657.9482827100701
FDO16,OUT035,1436.6761205451114
FDC60,OUT049,1452.9263649145973
FDA48,OUT018,3524.857364527763
FDZ36,OUT027,5111.370787226341
FDK27,OUT045,2009.6184032100866
FDW23,OUT018,658.825303395851
FDM14,OUT018,1650.6086370104053
FDM14,OUT013,1580.8348274518812
FDW60,OUT018,2874.0025299865797
FDE21,OUT013,1944.9068322289518
NCM42,OUT035,1590.0361270895312
FDY59,OUT010,227.97578424684542
DRI49,OUT049,1363.9859130878185
FDT28,OUT019,366.4426527495484
FDQ22,OUT018,659.5822627835931
FDR60,OUT049,1296.1741339505245
FDC50,OUT019,232.62688593685525
FDV24,OUT013,2485.4539504243453
DRF48,OUT010,490.9413274665866
FDQ47,OUT046,674.724048367241
