Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1651.6346358051749
FDW14,OUT017,1358.9670471941085
NCN55,OUT010,574.1840746846703
FDQ58,OUT017,2451.516314826206
FDY38,OUT027,5859.264290552335
FDH56,OUT046,1937.1635457763903
FDL48,OUT018,744.4504083279313
FDC48,OUT027,2157.4273982424306
FDN33,OUT045,1519.3439256140125
FDA36,OUT017,3104.948726098875
FDT44,OUT017,1935.4487765199694
FDQ56,OUT045,1362.2546008761012
NCC54,OUT019,574.4741087440394
FDU11,OUT049,2023.2415730601954
DRL59,OUT013,839.0468630892282
FDM24,OUT049,2472.0938715240873
FDI57,OUT045,3059.5677861132194
DRC12,OUT018,2955.048620802739
NCM42,OUT027,2919.2245968695356
FDA46,OUT010,510.25842389421734
FDA31,OUT013,2859.5376445415695
NCJ31,OUT035,3844.369232948537
FDG52,OUT046,801.1286940631725
NCL19,OUT019,286.6062844657408
FDS10,OUT035,2975.3516354651038
FDX22,OUT010,566.9874880144049
NCF19,OUT035,781.4441740087507
NCE06,OUT046,2559.695229700295
DRC27,OUT046,3889.534710757092
FDE21,OUT035,1954.193453712517
NCR42,OUT019,131.33856593407268
FDX51,OUT018,2973.2597015770134
NCR06,OUT018,595.9977166311055
FDU31,OUT027,5859.264290552335
FDU59,OUT017,2525.5715158798025
FDR03,OUT027,5859.264290552335
FDS49,OUT027,2040.113629058962
FDD48,OUT010,268.7604238462438
NCF18,OUT017,3044.208936995661
NCD43,OUT027,2857.2471432451484
NCD54,OUT018,2102.0376098726997
FDY19,OUT010,269.5297339323619
NCY54,OUT017,2868.003148227873
NCL19,OUT018,2425.3955961215424
FDP23,OUT010,572.0223296813049
FDC26,OUT013,1751.8200535151525
FDR14,OUT010,131.33856593407268
NCS41,OUT035,3115.3452013672677
FDF41,OUT035,3849.856602612218
FDU34,OUT046,2048.3672421969086
DRH11,OUT046,974.1710472422159
FDM03,OUT013,1648.9079032345967
FDS31,OUT017,3053.8443976793515
FDJ20,OUT017,2005.0744699449378
FDV44,OUT027,5109.974055799009
FDG02,OUT049,3117.3791752265743
FDA09,OUT013,3005.010027646191
FDT04,OUT013,661.3100924659378
FDL58,OUT019,572.4308263648843
FDE52,OUT045,1381.7259415285914
FDW12,OUT035,2470.4931903405623
FDL51,OUT017,3665.2187429390574
NCY42,OUT027,3004.434851332314
FDR07,OUT017,1546.0565523645228
FDN40,OUT045,2470.3804610404804
FDB35,OUT027,2732.6115673871445
FDA22,OUT017,2522.2248436997475
NCL06,OUT046,4120.616023356704
FDI35,OUT013,3064.5941495409834
NCW42,OUT045,3739.469690144706
NCX06,OUT049,2990.3615595502024
FDC37,OUT027,2896.4646238034334
FDZ14,OUT018,1951.4810165241663
DRG49,OUT049,3887.7402636375923
NCG06,OUT045,4051.545637977576
DRC36,OUT045,2884.892961010748
FDV21,OUT019,280.65902281678876
FDB53,OUT046,2522.2134904878003
DRP47,OUT019,573.7642656546067
FDA14,OUT013,2461.781439039838
DRC24,OUT035,2534.279588378238
FDW21,OUT018,1620.0301956137544
NCH29,OUT046,1548.3453774035966
FDU58,OUT013,3096.689430378938
FDY27,OUT017,2875.556973302442
FDV56,OUT035,1658.8777704173854
FDT59,OUT046,3834.7563021915903
FDB23,OUT046,3791.5464466389362
FDR49,OUT045,772.2399580264432
FDB03,OUT010,574.4741087440394
FDN39,OUT045,2627.2500505401117
FDX02,OUT027,5859.264290552335
FDQ16,OUT027,2892.8817721932182
FDU35,OUT018,1559.168584924667
NCT29,OUT013,2018.174120593566
FDZ27,OUT046,801.1286940631725
FDN57,OUT017,2042.1639391632013
FDA03,OUT018,2429.1883943582307
FDZ36,OUT045,3128.912685338849
NCU05,OUT013,1390.875137764286
FDT39,OUT018,2375.506480096306
FDK60,OUT017,1543.6773377833963
FDZ25,OUT017,2782.12492090085
FDG12,OUT046,2076.855018792913
DRB01,OUT019,503.22762212526044
NCC43,OUT027,5859.264290552335
FDX13,OUT019,571.821701525854
FDM22,OUT049,882.6965437742311
FDJ03,OUT027,1059.821668029507
FDU14,OUT018,3804.9947836944625
FDB33,OUT010,383.7234418903709
FDP27,OUT046,3117.912069753108
FDO38,OUT010,158.30597837234885
FDE28,OUT027,5859.264290552335
FDO27,OUT035,1518.7224284521726
DRL23,OUT027,2885.6686516786244
FDS28,OUT046,973.056009280279
FDX24,OUT013,1450.7007820444146
FDZ02,OUT035,1543.0962587716342
FDL46,OUT045,1916.873113834932
FDS60,OUT027,4743.3862482742
NCO06,OUT017,582.4325768803851
FDO16,OUT035,1360.6949178222524
FDC60,OUT049,1364.6477734338491
FDA48,OUT018,3448.008235241854
FDZ36,OUT027,5101.274221962012
FDK27,OUT045,2036.3725245131304
FDW23,OUT018,588.0311251608609
FDM14,OUT018,1708.1479454266466
FDM14,OUT013,1653.8804582322941
FDW60,OUT018,2809.529319814228
FDE21,OUT013,1969.940841942121
NCM42,OUT035,1660.0356985150984
FDY59,OUT010,229.48225340525875
DRI49,OUT049,1313.6256157280839
FDT28,OUT019,367.9961723078242
FDQ22,OUT018,590.8268101019446
FDR60,OUT049,1274.0863161835948
FDC50,OUT019,236.23545415484384
FDV24,OUT013,2406.266524617773
DRF48,OUT010,494.2638836283607
FDQ47,OUT046,649.6443411281202
DRN36,OUT049,1546.8823802895483
NCY06,OUT035,2014.293528216132
FDE52,OUT035,1384.1633514783744
NCB54,OUT045,2009.6647430596502
NCF31,OUT035,2485.9834537438483
FDJ08,OUT027,5130.803089954914
NCC07,OUT017,1649.512249914465
NCD19,OUT027,1261.020548788554
FDL46,OUT049,1973.323724496189
FDM20,OUT045,3999.156409120436
NCI06,OUT010,449.9376278109274
DRM11,OUT035,4186.2767656890655
NCH07,OUT018,2484.196563237373
FDS23,OUT013,2042.5305305320037
FDO49,OUT018,741.0924251054593
FDS35,OUT049,1079.7051867190132
DRK39,OUT045,1341.6624286271535
DRI39,OUT049,922.3497706175091
FDV04,OUT017,2502.5547931105816
NCN14,OUT035,3068.871590295306
FDH08,OUT013,3776.953763084486
FDS20,OUT046,3149.3484323591174
FDV40,OUT049,1151.9461845911878
FDZ48,OUT010,259.51799324683003
FDS24,OUT027,2577.7893676666067
FDK44,OUT049,2870.7660691297224
FDS48,OUT045,2530.2989460465365
FDK26,OUT010,494.95707116855124
FDD23,OUT045,3107.581251196484
NCH54,OUT017,2579.2263762238795
NCP14,OUT010,241.11563263515484
FDM60,OUT010,131.33856593407268
FDV24,OUT017,2434.3718182536254
FDH08,OUT018,3533.9787304347105
FDS12,OUT027,2982.7570371340726
FDR39,OUT027,4831.507597854382
FDP12,OUT027,984.2681089109781
DRF60,OUT027,5859.264290552335
FDC09,OUT035,1646.5472712601925
FDF50,OUT018,2990.3260650176685
FDG28,OUT035,3997.711133645511
NCE19,OUT017,867.3027610862958
NCM53,OUT010,251.51823912540632
NCN18,OUT049,1735.3503951088278
FDF32,OUT035,3096.351937540143
FDF11,OUT013,3994.5683175052636
DRI59,OUT049,3818.570607065655
NCG54,OUT035,2804.745584093529
FDM44,OUT046,1637.4634871930537
FDT57,OUT018,3617.897644772699
FDV24,OUT046,2467.5779669777075
FDI50,OUT019,572.330916459836
FDS09,OUT035,796.1871633032418
NCC31,OUT027,4136.762043905868
FDQ07,OUT019,574.2734805885885
FDC22,OUT017,3124.4311863263383
FDZ56,OUT046,2805.409670440246
FDZ40,OUT019,131.33856593407268
FDS46,OUT027,2935.1339317944594
DRD24,OUT045,2055.8072848014235
FDV45,OUT017,3081.6876491056278
FDL26,OUT045,2534.194731420044
FDA56,OUT018,1990.9983651787127
FDN27,OUT046,1965.5458363200473
FDM20,OUT049,3998.8179373303574
FDO16,OUT017,1329.2603616633774
FDL03,OUT035,3006.153832975515
FDE58,OUT046,1950.9336323047617
FDI02,OUT027,2928.6011445756717
NCC55,OUT019,131.33856593407268
FDR03,OUT018,3223.522000421589
FDB14,OUT017,1441.096352323354
FDR45,OUT013,3996.6797395088574
NCN07,OUT017,2043.8039535791831
FDM51,OUT019,248.38605093823247
FDT52,OUT027,5859.264290552335
FDL26,OUT046,2530.8464684065216
NCZ42,OUT046,3935.857310654994
DRI47,OUT019,369.7531882160432
FDW40,OUT013,2078.4194618581764
FDN34,OUT046,2812.5705679407665
FDS01,OUT035,2919.5778793197514
NCG55,OUT045,1925.5588959277986
FDC11,OUT035,1366.034074351896
FDX35,OUT018,3492.9390920119076
NCB06,OUT046,2602.356797032741
FDR09,OUT019,573.9648938100574
FDC53,OUT017,1545.891743191841
FDY45,OUT013,4131.03844849328
FDA22,OUT010,385.62024721954424
FDE02,OUT035,1517.4223937568388
FDW21,OUT045,1630.1964242520435
FDV34,OUT046,1188.9809175236583
FDS59,OUT049,1661.1002288559841
NCW17,OUT017,2058.2262046287315
NCK54,OUT046,1962.6082507849383
FDG17,OUT019,572.330916459836
FDG35,OUT017,2864.841446065232
FDD08,OUT010,131.33856593407268
NCO07,OUT017,3650.873978096622
FDJ10,OUT010,278.0979634514773
FDW36,OUT017,1647.577517488491
FDW21,OUT010,239.85108652955586
FDY19,OUT017,1931.9631406276635
DRE03,OUT013,794.176045159102
NCC55,OUT049,656.616493679267
FDH52,OUT010,134.89153703536005
FDO09,OUT017,4085.6651717025416
FDU43,OUT045,3951.97962070683
FDX09,OUT010,421.92574572688494
FDH40,OUT019,201.52148037773802
FDW58,OUT017,1646.2646703710918
FDC47,OUT017,3749.438876788452
NCR41,OUT035,1488.4931692468515
DRG49,OUT035,3894.725033645238
FDC52,OUT027,4119.170628016775
FDY13,OUT046,1193.9625169637025
FDY35,OUT013,677.4842794334777
FDI35,OUT017,3121.293542122599
NCU18,OUT049,2088.413363566618
FDY33,OUT018,2484.407598813746
FDC15,OUT027,4205.964597481614
FDU01,OUT049,3077.389249171263
NCU42,OUT046,2812.57635470112
NCV29,OUT018,2810.5794232548997
NCY30,OUT017,3059.3661055814646
FDQ46,OUT049,1750.7587742599012
FDG58,OUT027,4136.762043905868
FDK33,OUT017,3643.2479964186296
NCD07,OUT045,1907.8088906563626
NCX29,OUT027,4051.1705466469216
NCT42,OUT013,2411.8357683640083
DRN59,OUT035,774.2911364628491
FDI44,OUT035,1292.6455935280874
FDA45,OUT049,2857.9682246345446
FDP31,OUT045,1080.7336740765659
FDY01,OUT046,1942.1853897762535
FDT09,OUT018,2029.6300268070765
DRH03,OUT027,2843.1120279791135
FDA36,OUT018,3003.104598545212
NCF31,OUT017,2451.8920462126694
FDG14,OUT049,2485.77776589353
FDG28,OUT027,5859.264290552335
FDU14,OUT049,4094.735770435545
FDY47,OUT019,283.76156426967214
FDI56,OUT049,1385.665577360166
DRD01,OUT013,1017.9390496686766
FDM22,OUT046,967.3944881190757
FDH33,OUT013,666.9522440144476
DRZ24,OUT013,1945.759034463456
NCQ38,OUT046,1646.885429935329
FDO16,OUT027,2354.868902102583
FDU07,OUT027,4100.208455926532
NCB07,OUT013,3016.4945453385135
FDU48,OUT045,2025.6732881712678
NCM43,OUT045,2645.5728755449277
FDR31,OUT010,366.6824614231924
DRK49,OUT018,592.0778908032972
NCI30,OUT010,574.3847028401213
DRD60,OUT017,3051.5208093865244
